Sensitivity,Comparison,N,W/L/T,Effect θ (95% BCa CI)
phase2_only,H1,25,7/11/7,0.420 (0.260–0.580)
phase2_only,M1,25,11/9/5,0.540 (0.360–0.720)
phase2_only,H2,25,8/10/7,0.460 (0.300–0.640)
phase2_only,H3,25,2/8/15,0.380 (0.260–0.500)
common_cohort_all_primary_arms_Cfloor16,H1,30,8/12/10,0.433 (0.300–0.583)
common_cohort_all_primary_arms_Cfloor16,M1,30,13/11/6,0.533 (0.367–0.683)
common_cohort_all_primary_arms_Cfloor16,H2,30,10/10/10,0.500 (0.350–0.650)
common_cohort_all_primary_arms_Cfloor16,H3,30,2/9/19,0.383 (0.283–0.483)
coarse_calibration_resolution_le_1pm,H1,18,5/7/6,0.444 (0.250–0.639)
coarse_calibration_resolution_le_1pm,M1,18,5/9/4,0.389 (0.194–0.611)
coarse_calibration_resolution_le_1pm,H2,18,6/6/6,0.500 (0.306–0.694)
coarse_calibration_resolution_le_1pm,H3,18,2/5/11,0.417 (0.278–0.556)
exclude_multiple_episode_rows,H1,30,8/12/10,0.433 (0.300–0.583)
exclude_multiple_episode_rows,M1,30,13/11/6,0.533 (0.367–0.683)
exclude_multiple_episode_rows,H2,30,10/10/10,0.500 (0.350–0.650)
exclude_multiple_episode_rows,H3,30,2/9/19,0.383 (0.283–0.483)
alert_budget_B1,H1,30,9/10/11,0.483 (0.333–0.633)
alert_budget_B1,M1,30,12/9/9,0.550 (0.400–0.700)
alert_budget_B1,H2,30,9/10/11,0.483 (0.350–0.633)
alert_budget_B1,H3,30,6/5/19,0.517 (0.417–0.617)
alert_budget_B4,H1,30,9/12/9,0.450 (0.300–0.600)
alert_budget_B4,M1,30,14/10/6,0.567 (0.400–0.717)
alert_budget_B4,H2,30,11/11/8,0.500 (0.333–0.650)
alert_budget_B4,H3,30,1/8/21,0.383 (0.283–0.467)
todz_without_time_of_day_normalisation,H1,30,9/12/9,0.450 (0.300–0.600)
todz_without_time_of_day_normalisation,M1,30,13/10/7,0.550 (0.383–0.700)
todz_without_time_of_day_normalisation,H2,30,10/13/7,0.450 (0.300–0.617)
todz_without_time_of_day_normalisation,H3,30,3/10/17,0.383 (0.267–0.500)
rolling_tau_recalibration,H1,30,6/13/11,0.383 (0.250–0.533)
rolling_tau_recalibration,M1,30,12/12/6,0.500 (0.333–0.667)
rolling_tau_recalibration,H2,30,8/10/12,0.467 (0.333–0.600)
rolling_tau_recalibration,H3,30,2/9/19,0.383 (0.283–0.483)
m1_realised_minute_matched,M1,30,13/11/6,0.533 (0.367–0.700)
