scenario,comparison,A,B,N,W,L,T,theta,theta_bca95_lo,theta_bca95_hi,sensitivity_p_value
phase2_only,H1,S3,S2,25,7,11,7,0.42,0.26,0.58,
phase2_only,M1,S3r,S6,25,11,9,5,0.54,0.36,0.72,
phase2_only,H2,S3,S5,25,8,10,7,0.46,0.3,0.64,
phase2_only,H3,S3,S4,25,2,8,15,0.38,0.26,0.5,
common_cohort_all_primary_arms_Cfloor16,H1,S3,S2,30,8,12,10,0.43333333333333335,0.3,0.5833333333333334,
common_cohort_all_primary_arms_Cfloor16,M1,S3r,S6,30,13,11,6,0.5333333333333333,0.36666666666666664,0.6833333333333333,
common_cohort_all_primary_arms_Cfloor16,H2,S3,S5,30,10,10,10,0.5,0.35,0.65,
common_cohort_all_primary_arms_Cfloor16,H3,S3,S4,30,2,9,19,0.38333333333333336,0.2833333333333333,0.48333333333333334,
coarse_calibration_resolution_le_1pm,H1,S3,S2,18,5,7,6,0.4444444444444444,0.25,0.6388888888888888,
coarse_calibration_resolution_le_1pm,M1,S3r,S6,18,5,9,4,0.3888888888888889,0.19444444444444445,0.6111111111111112,
coarse_calibration_resolution_le_1pm,H2,S3,S5,18,6,6,6,0.5,0.3055555555555556,0.6944444444444444,
coarse_calibration_resolution_le_1pm,H3,S3,S4,18,2,5,11,0.4166666666666667,0.2777777777777778,0.5555555555555556,
exclude_multiple_episode_rows,H1,S3,S2,30,8,12,10,0.43333333333333335,0.3,0.5833333333333334,
exclude_multiple_episode_rows,M1,S3r,S6,30,13,11,6,0.5333333333333333,0.36666666666666664,0.6833333333333333,
exclude_multiple_episode_rows,H2,S3,S5,30,10,10,10,0.5,0.35,0.65,
exclude_multiple_episode_rows,H3,S3,S4,30,2,9,19,0.38333333333333336,0.2833333333333333,0.48333333333333334,
alert_budget_B1,H1,S3,S2,30,9,10,11,0.48333333333333334,0.3333333333333333,0.6333333333333333,
alert_budget_B1,M1,S3r,S6,30,12,9,9,0.55,0.4,0.7,
alert_budget_B1,H2,S3,S5,30,9,10,11,0.48333333333333334,0.35,0.6333333333333333,
alert_budget_B1,H3,S3,S4,30,6,5,19,0.5166666666666667,0.4166666666666667,0.6166666666666667,
alert_budget_B4,H1,S3,S2,30,9,12,9,0.45,0.3,0.6,
alert_budget_B4,M1,S3r,S6,30,14,10,6,0.5666666666666667,0.4,0.7166666666666667,
alert_budget_B4,H2,S3,S5,30,11,11,8,0.5,0.3333333333333333,0.65,
alert_budget_B4,H3,S3,S4,30,1,8,21,0.38333333333333336,0.2833333333333333,0.4666666666666667,
todz_without_time_of_day_normalisation,H1,S3,S2,30,9,12,9,0.45,0.3,0.6,
todz_without_time_of_day_normalisation,M1,S3r,S6,30,13,10,7,0.55,0.38333333333333336,0.7,
todz_without_time_of_day_normalisation,H2,S3,S5,30,10,13,7,0.45,0.3,0.6166666666666667,
todz_without_time_of_day_normalisation,H3,S3,S4,30,3,10,17,0.38333333333333336,0.26666666666666666,0.5,
rolling_tau_recalibration,H1,S3,S2,30,6,13,11,0.38333333333333336,0.25,0.5333333333333333,
rolling_tau_recalibration,M1,S3r,S6,30,12,12,6,0.5,0.3333333333333333,0.6666666666666666,
rolling_tau_recalibration,H2,S3,S5,30,8,10,12,0.4666666666666667,0.3333333333333333,0.6,
rolling_tau_recalibration,H3,S3,S4,30,2,9,19,0.38333333333333336,0.2833333333333333,0.48333333333333334,
m1_realised_minute_matched,M1,S3r,S6,30,13,11,6,0.5333333333333333,0.36666666666666664,0.7,
